icao24,callsign,origin_country,time_position,longitude,latitude,baro_altitude,on_ground,velocity,true_track
50049b,T7BLV,San Marino,1783039231,100.7549,0.9563,11582.4,False,215.41,334.84
801622,IGO2121,India,1783039223,73.0635,18.8691,2164.08,False,144.29,62.16
801689,AXB2018,India,1783039230,77.6952,13.5744,3992.88,False,161.12,15.37
801681,AXB2064,India,1783039229,78.0438,13.5291,5212.08,False,191.67,64.4
4bc8d0,PGT91Q,Turkey,1783039231,31.2706,32.1018,11582.4,False,236.47,345.0
4bc8d9,PGT601,Turkey,1783039217,48.4008,27.5125,9761.22,False,233.55,299.28
841a6c,ADO118,Japan,1783039231,135.7288,35.7816,7368.54,False,195.71,221.48
801659,AIC101,India,1783039231,25.8406,34.7178,11582.4,False,239.37,311.78
801662,IGO6004,India,1783039230,77.5856,32.046,10668.0,False,242.81,6.45
801667,AIC2250,India,1783039132,71.4584,17.7723,10477.5,False,239.34,122.36
801665,AIC102,India,1783039231,26.9684,43.0159,11887.2,False,264.98,124.4
80165c,AXB670,India,1783038311,55.7057,25.2088,8915.4,False,166.12,197.48
801674,AIC9LG,India,1783039232,76.9535,27.7408,7604.76,False,208.59,203.09
500407,T724P,San Marino,1783039230,136.8722,34.3537,12192.0,False,171.24,237.26
8a0421,J935G,Indonesia,1783039230,110.5687,-7.7694,1257.3,False,88.82,295.38
4bc8cd,PGT52CP,Turkey,1783038975,36.8474,40.9534,11582.4,False,202.05,260.18
4bc8cc,PGT429,Turkey,1783039231,28.3618,46.2135,7917.18,False,226.66,199.63
4bc8ca,PGT97J,Turkey,1783039231,29.1138,40.7479,1333.5,False,126.5,311.21
80169c,IGO1924,India,1783039231,93.5435,22.5149,11574.78,False,244.93,260.08
851936,JAL432,Japan,1783039226,134.7694,33.4935,10058.4,False,270.95,92.94
8851e6,THA332,Thailand,1783039232,94.0041,17.4004,10660.38,False,224.72,128.68
851958,JAL642,Japan,1783039230,135.6306,33.2552,11887.2,False,262.0,70.14
47b0e7,IGO61J,Norway,1783039106,54.3264,22.2551,10965.18,False,255.48,274.62
