icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
801648,IGO252V ,India,1783039123,1783039123,77.0898,28.5604,,True,1.29,8.44,,,,,False,0
50049b,T7BLV   ,San Marino,1783039231,1783039231,100.7549,0.9563,11582.4,False,215.41,334.84,0.0,,12329.16,,False,0
801622,IGO2121 ,India,1783039223,1783039232,73.0635,18.8691,2164.08,False,144.29,62.16,13.66,,2156.46,,False,0
801689,AXB2018 ,India,1783039230,1783039230,77.6952,13.5744,3992.88,False,161.12,15.37,9.75,,4107.18,,False,0
801681,AXB2064 ,India,1783039229,1783039229,78.0438,13.5291,5212.08,False,191.67,64.4,7.48,,5295.9,,False,0
4bc8d0,PGT91Q  ,Turkey,1783039231,1783039231,31.2706,32.1018,11582.4,False,236.47,345.0,0.0,,12451.08,7372,False,0
80167b,VTTQX   ,India,1783039225,1783039225,77.0824,28.5631,,True,3.6,104.06,,,,,False,0
4bc8d9,PGT601  ,Turkey,1783039217,1783039221,48.4008,27.5125,9761.22,False,233.55,299.28,0.0,,10462.26,2112,False,0
841a6c,ADO118  ,Japan,1783039231,1783039231,135.7288,35.7816,7368.54,False,195.71,221.48,-5.2,,7726.68,7315,False,0
801659,AIC101  ,India,1783039231,1783039231,25.8406,34.7178,11582.4,False,239.37,311.78,0.0,,12321.54,,False,0
801662,IGO6004 ,India,1783039230,1783039230,77.5856,32.046,10668.0,False,242.81,6.45,0.0,,11430.0,,False,0
801667,AIC2250 ,India,1783039132,1783039132,71.4584,17.7723,10477.5,False,239.34,122.36,-2.28,,11170.92,,False,0
801665,AIC102  ,India,1783039231,1783039232,26.9684,43.0159,11887.2,False,264.98,124.4,0.0,,12428.22,2221,False,0
80165c,AXB670  ,India,1783038311,1783039231,55.7057,25.2088,8915.4,False,166.12,197.48,4.23,,4145.28,1756,False,0
801674,AIC9LG  ,India,1783039232,1783039232,76.9535,27.7408,7604.76,False,208.59,203.09,7.15,,8054.34,,False,0
500407,T724P   ,San Marino,1783039230,1783039230,136.8722,34.3537,12192.0,False,171.24,237.26,0.0,,12915.9,0473,False,0
8a0421,J935G   ,Indonesia,1783039230,1783039231,110.5687,-7.7694,1257.3,False,88.82,295.38,-2.28,,1356.36,,False,0
4bc8cd,PGT52CP ,Turkey,1783038975,1783039229,36.8474,40.9534,11582.4,False,202.05,260.18,0.0,,12283.44,6751,False,0
4bc8cc,PGT429  ,Turkey,1783039231,1783039231,28.3618,46.2135,7917.18,False,226.66,199.63,8.45,,8267.7,7343,False,0
4bc8ca,PGT97J  ,Turkey,1783039231,1783039231,29.1138,40.7479,1333.5,False,126.5,311.21,-5.85,,1402.08,,False,0
80169c,IGO1924 ,India,1783039231,1783039232,93.5435,22.5149,11574.78,False,244.93,260.08,0.33,,12367.26,3104,False,0
0d11ed,AMX090  ,Mexico,1783039153,1783039153,126.4536,37.463,,True,7.2,244.69,,,,6126,False,0
851936,JAL432  ,Japan,1783039226,1783039231,134.7694,33.4935,10058.4,False,270.95,92.94,0.0,,10721.34,,False,0
