year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2026,4,G4,Allegiant Air,MCO,"Orlando, FL: Orlando International",37.00,4.00,1.00,1.00,1.10,0.00,0.90,1.00,0.00,238.00,38.00,107.00,49.00,0.00,44.00
2026,4,G4,Allegiant Air,MDT,"Harrisburg, PA: Harrisburg International",93.00,17.00,3.30,1.00,5.53,0.00,7.16,0.00,0.00,1723.00,1110.00,58.00,198.00,0.00,357.00
2026,4,G4,Allegiant Air,MDW,"Chicago, IL: Chicago Midway International",18.00,3.00,0.87,0.75,1.25,0.00,0.13,0.00,0.00,58.00,20.00,12.00,23.00,0.00,3.00
2026,4,G4,Allegiant Air,MEM,"Memphis, TN: Memphis International",42.00,16.00,3.20,1.16,5.51,0.00,6.14,0.00,0.00,1332.00,339.00,290.00,328.00,0.00,375.00
2026,4,G4,Allegiant Air,MFE,"Mission/McAllen/Edinburg, TX: McAllen International",40.00,6.00,2.59,0.87,0.66,0.00,1.88,0.00,0.00,511.00,174.00,71.00,109.00,0.00,157.00
2026,4,G4,Allegiant Air,MFR,"Medford, OR: Rogue Valley International - Medford",18.00,4.00,0.30,1.44,0.83,0.00,1.43,0.00,0.00,388.00,25.00,146.00,77.00,0.00,140.00
2026,4,G4,Allegiant Air,MLB,"Melbourne, FL: Melbourne Orlando International",25.00,5.00,3.00,0.00,2.00,0.00,0.00,0.00,0.00,146.00,100.00,0.00,46.00,0.00,0.00
2026,4,G4,Allegiant Air,MLI,"Moline, IL: Quad Cities International",53.00,10.00,4.17,0.00,3.49,0.00,2.34,0.00,0.00,495.00,286.00,0.00,110.00,0.00,99.00
2026,4,G4,Allegiant Air,MOT,"Minot, ND: Minot International",20.00,5.00,3.77,0.00,0.41,0.00,0.82,0.00,0.00,332.00,232.00,0.00,23.00,0.00,77.00
2026,4,G4,Allegiant Air,MRY,"Monterey, CA: Monterey Regional",9.00,2.00,0.28,0.00,0.05,0.00,1.67,0.00,0.00,223.00,12.00,0.00,2.00,0.00,209.00
2026,4,G4,Allegiant Air,MSO,"Missoula, MT: Missoula Montana",20.00,6.00,1.00,1.00,1.34,0.00,2.66,0.00,0.00,540.00,170.00,152.00,56.00,0.00,162.00
2026,4,G4,Allegiant Air,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",17.00,2.00,0.48,0.00,0.00,0.00,1.52,0.00,0.00,76.00,16.00,0.00,0.00,0.00,60.00
2026,4,G4,Allegiant Air,MYR,"Myrtle Beach, SC: Myrtle Beach International",78.00,22.00,5.06,1.00,5.28,0.00,10.67,0.00,0.00,1084.00,242.00,48.00,237.00,0.00,557.00
2026,4,G4,Allegiant Air,OAK,"Oakland, CA: Oakland International",8.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,17.00
2026,4,G4,Allegiant Air,OMA,"Omaha, NE: Eppley Airfield",52.00,5.00,1.38,0.00,1.55,0.00,2.07,1.00,0.00,222.00,42.00,0.00,37.00,0.00,143.00
2026,4,G4,Allegiant Air,PBG,"Plattsburgh, NY: Plattsburgh International",42.00,11.00,2.04,0.69,3.98,0.00,4.29,0.00,0.00,510.00,92.00,13.00,156.00,0.00,249.00
2026,4,G4,Allegiant Air,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",37.00,9.00,0.86,0.00,6.25,0.00,1.89,0.00,0.00,325.00,28.00,0.00,248.00,0.00,49.00
2026,4,G4,Allegiant Air,PDX,"Portland, OR: Portland International",9.00,2.00,1.21,0.00,0.11,0.00,0.68,0.00,0.00,532.00,237.00,0.00,13.00,0.00,282.00
2026,4,G4,Allegiant Air,PGD,"Punta Gorda, FL: Punta Gorda Airport",667.00,130.00,18.82,6.97,45.34,0.00,58.87,1.00,0.00,7709.00,1830.00,456.00,1950.00,0.00,3473.00
2026,4,G4,Allegiant Air,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",25.00,7.00,1.12,0.80,2.45,0.00,2.63,0.00,0.00,198.00,31.00,32.00,59.00,0.00,76.00
2026,4,G4,Allegiant Air,PIA,"Peoria, IL: General Downing - Peoria International",77.00,4.00,0.99,0.00,2.41,0.00,0.60,0.00,0.00,185.00,101.00,0.00,58.00,0.00,26.00
2026,4,G4,Allegiant Air,PIE,"St. Petersburg, FL: St Pete Clearwater International",752.00,187.00,38.29,8.15,66.68,0.00,73.88,1.00,2.00,10871.00,3592.00,408.00,2435.00,0.00,4436.00
2026,4,G4,Allegiant Air,PIT,"Pittsburgh, PA: Pittsburgh International",121.00,25.00,5.04,0.99,5.37,0.00,13.60,0.00,0.00,1831.00,477.00,53.00,188.00,0.00,1113.00
2026,4,G4,Allegiant Air,PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",27.00,6.00,3.86,0.00,0.46,0.00,1.68,0.00,0.00,408.00,258.00,0.00,40.00,0.00,110.00
2026,4,G4,Allegiant Air,PSM,"Portsmouth, NH: Portsmouth International at Pease",50.00,7.00,2.04,0.00,4.96,0.00,0.00,0.00,0.00,173.00,65.00,0.00,108.00,0.00,0.00
2026,4,G4,Allegiant Air,PSP,"Palm Springs, CA: Palm Springs International",15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026,4,G4,Allegiant Air,PVD,"Providence, RI: Rhode Island Tf Green International",15.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,24.00,0.00,0.00
2026,4,G4,Allegiant Air,PVU,"Provo, UT: Provo Municipal",137.00,37.00,6.65,0.14,8.31,0.00,21.90,0.00,1.00,3205.00,1600.00,4.00,188.00,0.00,1413.00
2026,4,G4,Allegiant Air,RAP,"Rapid City, SD: Rapid City Regional",19.00,5.00,1.00,0.00,2.86,0.00,1.14,0.00,0.00,282.00,187.00,0.00,56.00,0.00,39.00
2026,4,G4,Allegiant Air,RFD,"Rockford, IL: Chicago/Rockford International",88.00,12.00,5.31,1.46,1.46,0.00,3.77,0.00,1.00,682.00,283.00,147.00,45.00,0.00,207.00
2026,4,G4,Allegiant Air,RIC,"Richmond, VA: Richmond International",8.00,2.00,0.02,0.00,0.41,0.00,1.57,0.00,0.00,85.00,1.00,0.00,12.00,0.00,72.00
2026,4,G4,Allegiant Air,ROA,"Roanoke, VA: Roanoke Blacksburg Regional",25.00,4.00,1.15,0.00,0.27,0.00,2.58,0.00,0.00,108.00,39.00,0.00,8.00,0.00,61.00
2026,4,G4,Allegiant Air,ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International",30.00,3.00,1.52,0.00,1.03,0.00,0.45,0.00,0.00,215.00,60.00,0.00,94.00,0.00,61.00
2026,4,G4,Allegiant Air,RSW,"Fort Myers, FL: Southwest Florida International",25.00,6.00,0.01,0.95,1.67,0.00,3.37,0.00,0.00,249.00,1.00,104.00,45.00,0.00,99.00
2026,4,G4,Allegiant Air,SAV,"Savannah, GA: Savannah/Hilton Head International",73.00,28.00,3.85,0.17,2.57,0.00,21.41,1.00,0.00,2378.00,521.00,6.00,86.00,0.00,1765.00
2026,4,G4,Allegiant Air,SBN,"South Bend, IN: South Bend International",96.00,21.00,10.64,3.65,4.75,0.00,1.96,0.00,0.00,1112.00,418.00,370.00,194.00,0.00,130.00
2026,4,G4,Allegiant Air,SCK,"Stockton, CA: Stockton Metro",33.00,8.00,1.61,1.00,1.65,0.00,3.74,0.00,0.00,476.00,197.00,21.00,57.00,0.00,201.00
2026,4,G4,Allegiant Air,SDF,"Louisville, KY: Louisville Muhammad Ali International",55.00,14.00,4.62,0.88,4.54,0.00,3.96,0.00,1.00,887.00,384.00,64.00,187.00,0.00,252.00
2026,4,G4,Allegiant Air,SFB,"Sanford, FL: Orlando Sanford International",799.00,214.00,47.24,7.85,42.47,1.00,115.44,0.00,1.00,18539.00,5402.00,518.00,2702.00,24.00,9893.00
2026,4,G4,Allegiant Air,SGF,"Springfield, MO: Springfield-Branson National",42.00,6.00,3.23,0.00,0.68,0.00,2.09,0.00,0.00,254.00,127.00,0.00,22.00,0.00,105.00
2026,4,G4,Allegiant Air,SHV,"Shreveport, LA: Shreveport Regional",8.00,4.00,1.74,0.00,0.86,0.00,1.40,0.00,0.00,163.00,69.00,0.00,42.00,0.00,52.00
2026,4,G4,Allegiant Air,SMX,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",9.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,42.00,0.00,0.00,42.00,0.00,0.00
2026,4,G4,Allegiant Air,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",110.00,21.00,6.98,1.81,7.35,0.00,4.85,2.00,0.00,3262.00,2524.00,73.00,294.00,0.00,371.00
2026,4,G4,Allegiant Air,SPI,"Springfield, IL: Abraham Lincoln Capital",9.00,3.00,0.00,0.00,2.08,0.00,0.92,0.00,0.00,124.00,0.00,0.00,63.00,0.00,61.00
2026,4,G4,Allegiant Air,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",333.00,65.00,15.81,4.89,14.97,0.00,29.33,0.00,0.00,4622.00,1469.00,354.00,707.00,0.00,2092.00
2026,4,G4,Allegiant Air,STC,"St. Cloud, MN: St. Cloud Regional",13.00,4.00,0.95,0.00,1.68,0.00,1.38,0.00,0.00,135.00,40.00,0.00,52.00,0.00,43.00
2026,4,G4,Allegiant Air,SWF,"Newburgh/Poughkeepsie, NY: New York Stewart International",46.00,15.00,4.76,1.36,5.99,0.00,2.90,0.00,0.00,832.00,263.00,172.00,263.00,0.00,134.00
2026,4,G4,Allegiant Air,SYR,"Syracuse, NY: Syracuse Hancock International",86.00,20.00,6.21,3.03,3.57,0.00,7.19,0.00,0.00,868.00,284.00,67.00,168.00,0.00,349.00
2026,4,G4,Allegiant Air,TOL,"Toledo, OH: Eugene F Kranz Toledo Express",51.00,14.00,7.56,0.89,2.96,0.00,2.59,0.00,0.00,960.00,708.00,34.00,87.00,0.00,131.00
2026,4,G4,Allegiant Air,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",17.00,7.00,1.73,0.00,0.47,0.00,4.79,0.00,0.00,629.00,365.00,0.00,22.00,0.00,242.00
2026,4,G4,Allegiant Air,TTN,"Trenton, NJ: Trenton Mercer",25.00,5.00,2.00,0.00,2.39,0.00,0.61,0.00,0.00,235.00,66.00,0.00,136.00,0.00,33.00
2026,4,G4,Allegiant Air,TUL,"Tulsa, OK: Tulsa International",16.00,1.00,0.98,0.00,0.02,0.00,0.00,0.00,0.00,245.00,240.00,0.00,5.00,0.00,0.00
2026,4,G4,Allegiant Air,TVC,"Traverse City, MI: Cherry Capital",48.00,11.00,4.41,0.00,2.87,0.00,3.72,0.00,0.00,439.00,166.00,0.00,113.00,0.00,160.00
2026,4,G4,Allegiant Air,TYS,"Knoxville, TN: McGhee Tyson",231.00,46.00,9.89,1.11,12.95,0.00,22.05,0.00,1.00,3038.00,690.00,82.00,957.00,0.00,1309.00
2026,4,G4,Allegiant Air,USA,"Concord, NC: Concord Padgett Regional",59.00,20.00,3.30,4.14,4.44,0.00,8.11,0.00,0.00,1268.00,350.00,151.00,227.00,0.00,540.00
2026,4,G4,Allegiant Air,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",184.00,37.00,8.29,2.01,8.91,0.00,17.79,0.00,0.00,2831.00,526.00,88.00,1065.00,0.00,1152.00
2026,4,G4,Allegiant Air,XNA,"Fayetteville, AR: Northwest Arkansas National",60.00,19.00,4.46,2.35,2.62,0.00,9.57,0.00,0.00,1075.00,190.00,131.00,197.00,0.00,557.00
2026,4,G7,GoJet Airlines LLC d/b/a United Express,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",76.00,32.00,4.05,0.22,9.37,0.00,18.37,3.00,0.00,2548.00,248.00,25.00,290.00,0.00,1985.00
2026,4,G7,GoJet Airlines LLC d/b/a United Express,ATW,"Appleton, WI: Appleton International",31.00,11.00,1.74,1.00,0.92,0.00,7.34,0.00,0.00,765.00,134.00,30.00,40.00,0.00,561.00
2026,4,G7,GoJet Airlines LLC d/b/a United Express,AVL,"Asheville, NC: Asheville Regional",8.00,1.00,0.00,0.96,0.04,0.00,0.00,0.00,0.00,680.00,0.00,653.00,27.00,0.00,0.00
2026,4,G7,GoJet Airlines LLC d/b/a United Express,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",57.00,21.00,3.51,0.18,3.76,0.00,13.55,3.00,0.00,1312.00,159.00,15.00,131.00,0.00,1007.00
